ObjectID,Source,Group,Subgroup,Title,Category,CategoriesWrapped,StartDate,EndDate,LocationName,Address,Latitude,Longitude,Borough,URL,MinAge,MaxAge,Image,Icon
1602,nypl,nypl,nypl_arts-and-crafts,How to Draw A Lion,arts-and-crafts,",arts-and-crafts,",2026-06-01T15:30:00-04:00,,"Tompkins Square Library, Second Floor",,0,0,,https://www.nypl.org/events/programs/2026/06/01/how-draw-lion,6,12,,arts-and-crafts
1603,nypl,nypl,nypl_arts-and-crafts,Make Your Mark,arts-and-crafts,",arts-and-crafts,",2026-06-01T15:30:00-04:00,,Inwood Library,,0,0,,https://www.nypl.org/events/programs/2026/06/01/make-your-mark,13,18,,arts-and-crafts
1604,nypl,nypl,nypl_arts-and-crafts,Crafternoon,arts-and-crafts,",arts-and-crafts,",2026-06-01T16:00:00-04:00,,Seward Park Library,"192 East Broadway, New York, NY 10002",40.7144,-73.9884,,https://www.nypl.org/events/programs/2026/06/01/clone-crafternoon,6,12,,arts-and-crafts
1605,nypl,nypl,nypl_arts-and-crafts,Arts & Crafts  / Arte y manualidades,arts-and-crafts,",arts-and-crafts,",2026-06-01T16:00:00-04:00,,Melrose Library,"910 Morris Avenue, Bronx, NY 10451",40.8267,-73.9177,,https://www.nypl.org/events/programs/2026/06/01/arts-crafts-arte-y-manualidades,6,12,,arts-and-crafts
1606,nypl,nypl,nypl_arts-and-crafts,Make It Monday (Creative Studio: Books to Art),arts-and-crafts,",arts-and-crafts,",2026-06-01T16:00:00-04:00,,Woodstock Library,"761 East 160th Street, Bronx, NY 10456",40.8205,-73.9046,,https://www.nypl.org/events/programs/2026/06/01/make-it-monday-creative-studio-books-art,13,18,,arts-and-crafts
1607,nypl,nypl,nypl_arts-and-crafts,Arts and Processes,arts-and-crafts,",arts-and-crafts,",2026-06-01T16:00:00-04:00,,"67th Street Library, Community Room",,0,0,,https://www.nypl.org/events/programs/2026/06/01/arts-and-processes,6,12,,arts-and-crafts
1608,nypl,nypl,nypl_arts-and-crafts,YA Gaming Hour,arts-and-crafts,",arts-and-crafts,",2026-06-01T16:00:00-04:00,,Allerton Library,"2740 Barnes Avenue, Bronx, NY 10467",40.866,-73.8632,,https://www.nypl.org/events/programs/2026/06/01/ya-gaming-hour,13,24,,arts-and-crafts
1609,nypl,nypl,nypl_arts-and-crafts,Teen Lounge,arts-and-crafts,",arts-and-crafts,",2026-06-01T16:00:00-04:00,,"George Bruce Library, Auditorium",,0,0,,https://www.nypl.org/events/programs/2026/06/01/teen-lounge,13,18,,arts-and-crafts
1610,nypl,nypl,nypl_arts-and-crafts,Makerspace Mondays,arts-and-crafts,",arts-and-crafts,",2026-06-01T16:00:00-04:00,,Seward Park Library,"192 East Broadway, New York, NY 10002",40.7144,-73.9884,,https://www.nypl.org/events/programs/2026/06/01/makerspace-mondays,13,24,,arts-and-crafts
1611,nypl,nypl,nypl_arts-and-crafts,Crafty Creator's Club,arts-and-crafts,",arts-and-crafts,",2026-06-01T16:30:00-04:00,,"Parkchester Library, Children's Room",,0,0,,https://www.nypl.org/events/programs/2026/06/01/crafty-creators-club,6,12,,arts-and-crafts
1612,nypl,nypl,nypl_arts-and-crafts,Henna,arts-and-crafts,",arts-and-crafts,",2026-06-01T16:45:00-04:00,,Inwood Library,,0,0,,https://www.nypl.org/events/programs/2026/06/01/henna,13,18,,arts-and-crafts
1613,nypl,nypl,nypl_arts-and-crafts,Process Art Party!,arts-and-crafts,",arts-and-crafts,",2026-06-02T11:00:00-04:00,,"Belmont Library and Enrico Fermi Cultural Center, Children's Room",,0,0,,https://www.nypl.org/events/programs/2026/06/02/process-art-party,,,,arts-and-crafts
1614,nypl,nypl,nypl_arts-and-crafts,Preschool Picassos,arts-and-crafts,",arts-and-crafts,",2026-06-02T11:00:00-04:00,,Great Kills Library,"56 Giffords Lane, Staten Island, NY 10308",40.5524,-74.151,,https://www.nypl.org/events/programs/2026/06/02/preschool-picassos-draft,,,,arts-and-crafts
1615,nypl,nypl,nypl_arts-and-crafts,Teen Unwind: Crafternoon,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:00:00-04:00,,"City Island Library, Community Meeting Room",,0,0,,https://www.nypl.org/events/programs/2026/06/02/teen-unwind-crafternoon,13,24,,arts-and-crafts
1616,nypl,nypl,nypl_arts-and-crafts,Get Your Craft Together: Collaging,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:00:00-04:00,,Hunts Point Library,"877 Southern Boulevard, Bronx, NY 10459",40.8187,-73.8939,,https://www.nypl.org/events/programs/2026/06/02/get-your-craft-together-collaging,13,18,,arts-and-crafts
1617,nypl,nypl,nypl_arts-and-crafts,Mixed Media Art: For Pre-Teens,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:00:00-04:00,,Riverdale Library,"5540 Mosholu Avenue, Bronx, NY 10471",40.9029,-73.9037,,https://www.nypl.org/events/programs/2026/06/02/mixed-media-art-pre-teens,13,18,,arts-and-crafts
1618,nypl,nypl,nypl_arts-and-crafts,Arts and Crafts,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:00:00-04:00,,Macomb's Bridge Library,"2633 Adam Clayton Powell, Jr. Blvd., New York, NY 10039",40.825,-73.938,,https://www.nypl.org/events/programs/2026/05/05/arts-and-crafts,13,18,,arts-and-crafts
1619,nypl,nypl,nypl_arts-and-crafts,Teen Art!,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:00:00-04:00,,"Battery Park City Library, Community Room",,0,0,,https://www.nypl.org/events/programs/2026/06/02/teen-art,13,18,,arts-and-crafts
1620,nypl,nypl,nypl_arts-and-crafts,Craft-It!,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,Roosevelt Island Library,"504 Main Street, New York, NY 10044",40.7609,-73.9506,,https://www.nypl.org/events/programs/2026/06/02/craft-it,13,18,,arts-and-crafts
1621,nypl,nypl,nypl_arts-and-crafts,Kids Crafternoons,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,Morris Park Library,"985 Morris Park Avenue, Bronx, NY 10462",40.8467,-73.8558,,https://www.nypl.org/events/programs/2026/06/02/kids-crafternoons,6,12,,arts-and-crafts
1622,nypl,nypl,nypl_arts-and-crafts,Kids BINGO!,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,"Richmondtown Library, Community Room",,0,0,,https://www.nypl.org/events/programs/2026/06/23/kids-bingo,6,12,,arts-and-crafts
1623,nypl,nypl,nypl_arts-and-crafts,DIY Teen/Tween Craft Program: June Themed Coloring Page Kit (In-Person),arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,"Tompkins Square Library, Second Floor",,0,0,,https://www.nypl.org/events/programs/2026/06/02/diy-teentween-craft-program-june-themed-coloring-page-kit-person,13,18,,arts-and-crafts
1624,nypl,nypl,nypl_arts-and-crafts,Kids Crafternoon,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,Ottendorfer Library,"135 Second Avenue, New York, NY 10003",40.7288,-73.9877,,https://www.nypl.org/events/programs/2026/06/07/kids-crafternoon,6,12,,arts-and-crafts
1625,nypl,nypl,nypl_arts-and-crafts,Teen Lounge (in person),arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,Andrew Heiskell Braille and Talking Book Library,"40 West 20th Street, New York, NY 10011",40.7404,-73.993,,https://www.nypl.org/events/programs/2026/06/02/teen-lounge-person,13,18,,arts-and-crafts
1626,nypl,nypl,nypl_arts-and-crafts,STEAM Time: Beaded Bracelets,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,58th Street Library,"127 East 58th Street, New York, NY 10022",40.7619,-73.9691,,https://www.nypl.org/events/programs/2026/06/09/steam-time-beaded-bracelets,6,12,,arts-and-crafts
1627,nypl,nypl,nypl_arts-and-crafts,Let's Go Lego,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,Morningside Heights Library,"2900 Broadway, New York, NY 10025",40.8062,-73.965,,https://www.nypl.org/events/programs/2026/06/02/clone-clone-clone-lets-go-lego,6,12,,arts-and-crafts
1628,nypl,nypl,nypl_arts-and-crafts,Teen Art Club,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,Dongan Hills Library,"1617 Richmond Road, Staten Island, NY 10304",40.5906,-74.101,,https://www.nypl.org/events/programs/2026/06/02/teen-art-club,13,18,,arts-and-crafts
1629,nypl,nypl,nypl_arts-and-crafts,US250: Crafty Crew,arts-and-crafts,",arts-and-crafts,",2026-06-02T15:30:00-04:00,,Melrose Library,"910 Morris Avenue, Bronx, NY 10451",40.8267,-73.9177,,https://www.nypl.org/events/programs/2026/06/12/process-art-crafty-crew,6,12,,arts-and-crafts
1630,nypl,nypl,nypl_arts-and-crafts,Teen Art Studio,arts-and-crafts,",arts-and-crafts,",2026-06-02T16:00:00-04:00,,Clason's Point Library,"1215 Morrison Avenue, Bronx, NY 10472",40.8299,-73.8748,,https://www.nypl.org/events/programs/2026/06/02/teen-art-studio,13,18,,arts-and-crafts
1631,nypl,nypl,nypl_arts-and-crafts,Creative Crafternoons with Books,arts-and-crafts,",arts-and-crafts,",2026-06-02T16:00:00-04:00,,West Farms Library,"2085 Honeywell Avenue, Bronx, NY 10460",40.8448,-73.8828,,https://www.nypl.org/events/programs/2026/06/02/creative-crafternoons-books,6,12,,arts-and-crafts
1632,nypl,nypl,nypl_arts-and-crafts,Drawing Club!,arts-and-crafts,",arts-and-crafts,",2026-06-02T16:00:00-04:00,,Mariners Harbor Library,"206 South Ave, Staten Island, NY 10303",40.6348,-74.1665,,https://www.nypl.org/events/programs/2026/06/02/drawing-club,6,12,,arts-and-crafts
